"Title","Year","Authors","Journal","DOI","Source","Surveillance_Type","Governance","Geographic_Extent","Region","Country","Country_if_Multiple","Animal_Type","Number_Species","Species_name","Num_Indicators_Study","Num_Indicators_System","Indicators_study","Indicators_simpl","Unit_analysis","Source_of_indicators","Data_provider","Providers_if_multiple","Surveillance_system_name","Is_SyS","OneHealth","Response","System_purpose","Pilot_Proof_followup","Analysis_type","Statistical_framework","Keep"
"Enhanced One Health Surveillance during the 58th Presidential Inauguration - District of Columbia, January 2017","2019.0","Garrett-Cherry T.A., Hennenfent A.K., McGee S., Davies-Cole J.","Disaster Medicine and Public Health Preparedness","10.1017/dmp.2019.38","LitSearch","Established","Government","Local/Municipal","North America","USA","NA","Companion","2.0","cat, dog, other unspecified","8.0","8.0","central nervous system, peripheral nervous system, upper respiratory, lower respiratory, gastrointestinal (excluding intestinal parasites), fever of unknown origin, non-traumatic hemorrhagic, dermatologic (infectious), dead on arrival","nervous, respiratory, GI, general illness, hemorrhage, skin/fur/plumage, mortality","Population","Veterinarian reports to database","Private veterinarian","NA","ANCR ESSENCE","Yes","Yes","field investigation_inform national security departments or stakeholders","detect bioterrorist attack","Established","Temporal","NA","Yes"
"Enhanced surveillance for Rift Valley Fever in livestock during El Niño rains and threat of RVF outbreak, Kenya, 2015-2016","2018.0","Oyas H., Holmstrom L., Kemunto N.P., Muturi M., Mwatondo A., Osoro E., Bitek A., Bett B., Githinji J.W., Thumbi S.M., Widdowson M.-A., Munyua P.M., Njenga M.K.","PLoS Neglected Tropical Diseases","10.1371/journal.pntd.0006353","LitSearch","Temporary","Government","Multi-Region","Africa","Kenya","NA","Livestock","4.0","cattle, sheep, goat, camel","3.0","NA","abortion, hemorrhagic disease, mortalities","mortality, reproductive, hemorrhage","Herd_flock","Veterinarian reports to database","Multiple (see notes)","Farmer/Owner, Government Veterinarian","KDVS (Kenya Directorate of Veterinary Services) RVF system","Yes","Yes","field investigation_contact tracing of human contact with infected animals","early detection of RVF","Temporary","Spatio-temporal","NA","No"
"Enhancing the monitoring of fallen stock at different hierarchical administrative levels: An illustration on dairy cattle from regions with distinct husbandry, demographical and climate traits","2020.0","Fernández-Fontelo A., Puig P., Caceres G., Romero L., Revie C., Sanchez J., Dorea F.C., Alba-Casals A.","BMC Veterinary Research","10.1186/s12917-020-02312-8","LitSearch","Prospective/Proof of Concept",NA,"Multi-Region","Europe","Spain","NA","Livestock","1.0","cattle","1.0","NA","mortality","mortality","Population","Farmer reports of fallen cattle","Private company (disposal services, etc)","NA","MESRASA precursor","NA","No","NA","detection of health threat to cattle","Operational group MESRASA formed but no updates on website since 2017; received funding from Spanish government 2019-2021; https://coag.com.es/go/mesrasa.html ; https://akisplataforma.es/grupos-operativos/mejora-sistemas-recogida-y-alerta-sanitaria-animal-mesrasa","Spatio-temporal","Both","Yes"
"Equine syndromic surveillance in Colorado using veterinary laboratory testing order data","2019.0","Burkom H., Estberg L., Akkina J., Elbert Y., Zepeda C., Baszler T.","PLoS ONE","10.1371/journal.pone.0211335","LitSearch","Prospective/Proof of Concept",NA,"State/Province/Department","North America","USA","NA","Livestock","1.0","horse","7.0","NA","abortion/reproductive, diarrhea/GI, necropsy, neurological, respiratory, systemic fungal, tickborne","lab tests","Population","laboratory test records from the Veterinary Diagnostic Laboratories (VDL) of Colorado State University","Private veterinarian","NA","NA","NA","No","NA","detect emerging and endemic disease","No, checked US Dept. of Agriculture’s Center for Epidemiology and Animal Health (CEAH) website","Temporal","Frequentist","Yes"
"Evaluation of a hierarchical ascendant clustering process implemented in a veterinary syndromic surveillance system","2015.0","Behaeghel I., Veldhuis A., Ren L., Méroc E., Koenen F., Kerkhofs P., Van der Stede Y., Barnouin J., Dispas M.","Preventive Veterinary Medicine","10.1016/j.prevetmed.2015.03.002","LitSearch","Established","Government","Multi-Region","Europe","Belgium","NA","Livestock","2.0","cattle","6.0","NA","Erosions of the oral mucosa, salivation, milk production, lethargy, cough, fever","mucosa, general illness, milk production, respiratory","Population","Moss-E2 database, online tool for the voluntary registration of atypical cases for veterinarians","Private veterinarian","NA","MoSS-E2","Yes","No","inform health authorities_provide support for field investigation or specific action","early detection of emerging disease","Established","Spatial","Frequentist","Yes"
"Evaluation of a hierarchical ascendant clustering process implemented in a veterinary syndromic surveillance system","2015.0","Behaeghel I., Veldhuis A., Ren L., Méroc E., Koenen F., Kerkhofs P., Van der Stede Y., Barnouin J., Dispas M.","Preventive Veterinary Medicine","10.1016/j.prevetmed.2015.03.002","LitSearch","Established","Government","Multi-Region","Europe","Belgium","NA","Livestock","2.0","sheep","12.0","NA","Erosions of the oral mucosa, salivation, facial and mandibular oedema, apathy, tiredness, oedema of the lips, lameness, dysphagia, milk production, lethargy, cough, fever","mucosa, general illness, musculoskeletal, milk production, respiratory","Population","Moss-E2 database, online tool for the voluntary registration of atypical cases for veterinarians","Private veterinarian","NA","MoSS-E2","Yes","No","inform health authorities_provide support for field investigation or specific action","early detection of emerging disease","Established","Spatial","Frequentist","Yes"
"Evaluation of a hierarchical ascendant clustering process implemented in a veterinary syndromic surveillance system","2015.0","Behaeghel I., Veldhuis A., Ren L., Méroc E., Koenen F., Kerkhofs P., Van der Stede Y., Barnouin J., Dispas M.","Preventive Veterinary Medicine","10.1016/j.prevetmed.2015.03.002","LitSearch","Established","Government","Multi-Region","Europe","Belgium","NA","Livestock","2.0","goat","4.0","NA","milk production, lethargy, cough, fever","milk production, general illness, respiratory","Population","Moss-E2 database, online tool for the voluntary registration of atypical cases for veterinarians","Private veterinarian","NA","MoSS-E2","Yes","No","inform health authorities_provide support for field investigation or specific action","early detection of emerging disease","Established","Spatial","Frequentist","Yes"
"Evaluation of a multivariate syndromic surveillance system for west nile virus","2016.0","Faverjon C., Andersson M.G., Decors A., Tapprest J., Tritz P., Sandoz A., Kutasi O., Sala C., Leblond A.","Vector-Borne and Zoonotic Diseases","10.1089/vbz.2015.1883","LitSearch","Prospective/Proof of Concept",NA,"National","Europe","France","NA","Livestock, Wildlife","1.0","horse","2.0","NA","nervous disorder, mortality","mortality, nervous","Population","Veterinary reports for horse neurological symptoms, rendering company database for horse mortality, public, outdoor professional, hunter, and veterinary diagnostic reports for wild birds","Multiple (see notes)","Private Veterinarian, Private company (disposal services, etc)","RESPE","Yes","No","publication on website_field investigation_inform Ministry of Agriculture","rapid detection of diseases in horses","Yes","Temporal","Both","No"
"Evaluation of a multivariate syndromic surveillance system for west nile virus","2016.0","Faverjon C., Andersson M.G., Decors A., Tapprest J., Tritz P., Sandoz A., Kutasi O., Sala C., Leblond A.","Vector-Borne and Zoonotic Diseases","10.1089/vbz.2015.1883","LitSearch","Established","Government","National","Europe","France","NA","Livestock, Wildlife","2.0","wild birds","2.0","NA","mortality","mortality","Population","Veterinary reports for horse neurological symptoms, rendering company database for horse mortality, public, outdoor professional, hunter, and veterinary diagnostic reports for wild birds","Multiple (see notes)","Private Veterinarian, Member of public","SAGIR","Yes","No","field investigation_reinforce or target surveillance_law enforcement role","early detection of emerging disease in wildlife, monitor known disease, detect toxic events in wildlife","Established","Temporal","Both","No"
"Evaluation of a novel syndromic surveillance system for the detection of the 2007 melamine-related nephrotoxicosis foodborne outbreak in dogs and cats in the United States","2020.0","Weng H.-Y., Gaona M.A.L., Kass P.H.","PeerJ","10.7717/peerj.9093","LitSearch","Prospective/Proof of Concept",NA,"National","North America","USA","NA","Companion","2.0","cat, dog","4.0","NA","elevated serum creatinine concentration, vomiting, anorexia, lethargy","urinary, GI, general illness","Population","Electronic medical records from database used by participating veterinarians","Private veterinarian","NA","ADORE (Aberrant Diagnostic Outcome Repository in Epidemiology)","NA","No","NA","detect threats to companion animal health","No, searched UC Davis, Purdue, Google","Temporal","Frequentist","No"
"Expanding veterinary biosurveillance in Washington, DC: The creation and utilization of an electronic-based online veterinary surveillance system","2017.0","Hennenfent A., DelVento V., Davies-Cole J., Johnson-Clarke F.","Preventive Veterinary Medicine","10.1016/j.prevetmed.2017.01.009","LitSearch","Pilot program",NA,"Local/Municipal","North America","USA","NA","Companion","1.0","dog","8.0","8.0","central nervous system, peripheral nervous system, upper respiratory, lower respiratory, gastrointestinal (excluding intestinal parasites), fever of unknown origin, non-traumatic hemorrhagic, dermatologic (infectious), dead on arrival","nervous, respiratory, GI, general illness, hemorrhage, skin/fur/plumage, mortality","Population","electronic-based online reporting system","Private veterinarian","NA","ANCR ESSENCE","Yes","Yes","field investigation_inform national security departments or stakeholders","detect bioterrorist attack","Yes, in literature Cherry","Spatio-temporal","NA","No"
"Exploratory Analysis of Methods for Automated Classification of Laboratory Test Orders into Syndromic Groups in Veterinary Medicine","2013.0","Dórea F.C., Muckle C.A., Kelton D., McClure J.T., McEwen B.J., McNab W.B., Sanchez J., Revie C.W.","PLoS ONE","10.1371/journal.pone.0057334","LitSearch","Prospective/Proof of Concept",NA,"State/Province/Department","North America","Canada","NA","Livestock","1.0","cattle","16.0","NA","mastitis, nonspecific, gastrointestinal, respiratory, reproductive, abortion, musculoskeletal, hemotopoietic, hepatic, urinary, environmental samples, systemic, nervous, circulatory, eyes and ears, skin and tegumentary","lab tests","Population","Veterinarian test order","Private veterinarian","NA","AHL prospective system","NA","No","NA","early detection of disease outbreak in cattle","Adapted to equines","NA","Bayesian","No"
"Factors associated with good compliance and long-term sustainability in a practitioner-based livestock disease surveillance system","2013.0","Zurbrigg K.J., Van Den Borre N.M.","Canadian Veterinary Journal",NA,"LitSearch","Pilot program",NA,"State/Province/Department","North America","Canada","NA","Livestock","4.0","cattle, horse, small ruminant, pig","3.0","NA","clinical signs, suspected diagnosis, type of diagnostic samples submitted","lab tests","Population","Veterinarian call report","Private veterinarian","NA","OFSP (Ontario Farm call Surveillance Project)","Yes","No","field investigation","early detection of disease in pigs","No","Temporal","NA","Yes"
"Factors associated with offal, partial and whole carcass condemnation in ten French cattle slaughterhouses","2014.0","Dupuy C., Demont P., Ducrot C., Calavas D., Gay E.","Meat Science","10.1016/j.meatsci.2014.02.008","LitSearch","Prospective/Proof of Concept",NA,"Multi-Region","Europe","France","NA","Livestock","1.0","cattle","3.0","NA","whole carcass condemnation, partial condemnation, offal condemnation","carcass condemnation","Population","Data were collected using touch screens on the slaughter lines, provided by the food business operator. Data were then transmitted through a constant data flow to the database of the French Ministry of Agriculture","Meat inspector","NA","Nergal-Abattoir","Yes","No","NA","early detection of disease outbreaks in food animals","No","NA","Frequentist","No"
"Herpesvirus skin disease in free-living common frogs Rana temporaria in Great Britain","2018.0","Franklinos L.H.V., Rodriguez-Ramos Fernandez J., Hydeskov H.B., Hopkins K.P., Everest D.J., Cunningham A.A., Lawson B.","Diseases of Aquatic Organisms","10.3354/dao03246","LitSearch","Pilot program","Academic","National","Europe","UK","NA","Wildlife","1.0","Rana temporaria (frog)","1.0","NA","macroscopic lesions","skin/fur/plumage","Population","Reports submitted by members of public","Member of public","NA","Garden Wildlife Health project","Yes","No","model spatial and temporal distribution of disease","identify and monitor threats to wildlife health","Yes","Spatio-temporal","NA","No"
"Identifying an outbreak of a novel swine disease using test requests for porcine reproductive and respiratory syndrome as a syndromic surveillance tool","2012.0","O'Sullivan T.L., Friendship R.M., Pearl D.L., McEwen B., Dewey C.E.","BMC Veterinary Research","10.1186/1746-6148-8-192","LitSearch","Prospective/Proof of Concept",NA,"State/Province/Department","North America","Canada","NA","Livestock","1.0","pig","2.0","NA","PRRSV ELISA diagnostic tests requested, PRRSV PCR diagnostic tests requested","lab tests","Population","Retrospective diagnostic test data requested to Animal Health Laboratory (AHL), University of Guelph, Guelph, Ontario by swine veterinarians","Private veterinarian","NA","AHL prospective system","NA","No","NA","early detection of disease outbreak in cattle","Yes, kind of, fed into AHL Equine system","Temporal","Frequentist","No"
"Improving the Utility of Voluntary Ovine Fallen Stock Collection and Laboratory Diagnostic Submission Data for Animal Health Surveillance Purposes: A Development Cycle","2020.0","Tongue S.C., Eze J.I., Correia-Gomes C., Brülisauer F., Gunn G.J.","Frontiers in Veterinary Science","10.3389/fvets.2019.00487","LitSearch","Prospective/Proof of Concept",NA,"National","Europe","UK","NA","Livestock","1.0","sheep","1.0","NA","mortality","mortality","Population","death via business operational data from a voluntary fallen stock collection service","Private company (disposal services, etc)","NA","NA","NA","No","NA","detect threats to health or welfare of sheep","No, checked SRUC and Rural Affairs, Food and the Environment Strategic Research Programme websites","Spatio-temporal","Frequentist","Yes"
"Integer-valued AR processes with Hermite innovations and time-varying parameters: An application to bovine fallen stock surveillance at a local scale","2017.0","Fernández-Fontelo A., Fontdecaba S., Alba A., Puig P.","Statistical Modelling","10.1177/1471082X16683113","LitSearch","Prospective/Proof of Concept",NA,"Local/Municipal","Europe","Spain","NA","Livestock","1.0","cattle","1.0","NA","mortality","mortality","Population","number of bovine carcasses collected by the disposal services provided by Ministry of Agriculture","Private company (disposal services, etc)","NA","MESRASA precursor","NA","No","NA","detection of health threat to cattle","Operational group MESRASA formed but no updates on website since 2017; received funding from Spanish government 2019-2021; https://coag.com.es/go/mesrasa.html ; https://akisplataforma.es/grupos-operativos/mejora-sistemas-recogida-y-alerta-sanitaria-animal-mesrasa","Temporal","Frequentist","No"
"Investigating the potential of reported cattle mortality data in Switzerland for syndromic surveillance","2015.0","Struchen R., Reist M., Zinsstag J., Vial F.","Preventive Veterinary Medicine","10.1016/j.prevetmed.2015.04.012","LitSearch","Prospective/Proof of Concept",NA,"National","Europe","Switzerland","NA","Livestock","1.0","cattle","2.0","NA","deaths, stillbirths","mortality, reproductive","Population","Tierverkehrsdatenbank (TVD)","Farmer/Owner","NA","Tierverkehrsdatenbank (TVD) prospective system","NA","No","NA","early detection of disease","No, checked relevant Swiss websites","Temporal","Frequentist","No"
"Machine learning for syndromic surveillance using veterinary necropsy reports","2020.0","Bollig N., Clarke L., Elsmo E., Craven M.","PLoS ONE","10.1371/journal.pone.0228105","LitSearch","Prospective/Proof of Concept",NA,"State/Province/Department","North America","USA","NA","Livestock","multiple","cattle, unspecified farm animals","3.0","NA","gastrointestinal pathology, respiratory pathology, urinary pathology","necropsy","Population","free-text veterinary necropsy reports from Wisconsin Veterinary Diagnostic Laboratory","Private veterinarian","NA","NA","NA","No","NA","test if machine learning on necropsy reports could provide a syndromic indicator","No, checked Wisconsin Veterinary Diagnostic Laboratory (WVDL) website","NA","Frequentist","Yes"
"Making use of equine population demography for disease control purposes: Preliminary observations on the difficulties of counting and locating horses in Great Britain","2011.0","Robin C.A., Wylie C.E., Wood J.L.N., Newton J.R.","Equine Veterinary Journal","10.1111/j.2042-3306.2010.00186.x","LitSearch","Prospective/Proof of Concept",NA,"National","Europe","UK","NA","Livestock","1.0","horse","unspecified","not specified","not specified","unspecified","Population","Animal Health Trust syndromic surveillance database, further detail not provided","Farmer/Owner","NA","Animal Health Trust syndromic surveillance database","Yes","No","NA","detect disease outrbreaks in horses","No, Animal Health Trust no longer exists","Spatial","NA","Yes"
"Methodological challenges to multivariate syndromic surveillance: A case study using Swiss animal health data","2016.0","Vial F., Wei W., Held L.","BMC Veterinary Research","10.1186/s12917-016-0914-2","LitSearch","Prospective/Proof of Concept",NA,"National","Europe","Switzerland","NA","Livestock","1.0","cattle","2.0","NA","number animal samples sent to the largest two animal diagnostic laboratories in Switzerland, abortions","lab tests","Population","Swiss Federal Food Safety and Veterinary Office database","Private veterinarian","NA","NA","NA","No","NA","early detection of disease outbreak","No, research projects only listed on FSVO website","Temporal","Frequentist","Yes"
"Monitoring an epidemic of Theileria-associated bovine anaemia (Ikeda) in cattle herds in New Zealand","2016.0","McFadden A.M.J., Vink D., Pulford D.J., Lawrence K., Gias E., Heath A.C.G., McFadden C.B., Bingham P.","Preventive Veterinary Medicine","10.1016/j.prevetmed.2015.11.005","LitSearch","Established","Government","National","Oceania","New Zealand","NA","Livestock","1.0","cattle","1.0","1.0","cases of anemia","general illness","Population","veterinarian reports to regional veterinary laboratories","Private veterinarian","NA","New Zealand Theileria cattle system","Yes","No","monitor epidemic but no specific action","monitor TABA (IKEDA) epidemic and spread at lower cost","Established","Spatio-temporal","NA","Yes"
"Multivariate syndromic surveillance for cattle diseases: Epidemic simulation and algorithm performance evaluation","2019.0","Faverjon C., Carmo L.P., Berezowski J.","Preventive Veterinary Medicine","10.1016/j.prevetmed.2019.104778","LitSearch","Prospective/Proof of Concept",NA,"National","Europe","Switzerland","NA","Livestock","1.0","cattle","7.0","NA","mortality, stillbirths, gastrointestinal symptoms, respiratory symptoms, “other” (unspecific symptoms such as fever, anorexia, changing behavior or reduction in production), fertility disorders, locomotion disorders","mortality, reproductive, GI, respiratory, general illness, musculoskeletal","Population","mortality and stillbirths from Swiss Animal Movement Database, rest from Association of Swiss Cattle Breeders database","Multiple (see notes)","Private Veterinarian, Farmer/Owner","NA","NA","No","NA","early detection of emerging and endemic disease","For Swiss Animal Database, is part of FSVO, checked for other articles and nothing on Swiss Cattle Breeders association website","Temporal","Frequentist","Yes"
"Outbreak of equine coronavirus disease in adult horses, Switzerland 2021","2022.0","Hierweger M.M., Remy-Wohlfender F., Franzen J., Koch M.C., Blau D., Schoster A., Nicholson P., Gerber V., Gurtner C., Fouché N., Unger L., Seuberlich T.","Transboundary and Emerging Diseases","10.1111/tbed.14501","LitSearch","Established","Nonprofit","National","Europe","Switzerland","NA","Livestock","1.0","horse","unspecified","multiple, not specified","not specified","unspecified","Herd_flock","Veterinarian reports in Equinella database","Private veterinarian","NA","Equinella","Yes","No","field investigation","early detection of emerging and endemic disease","Established","NA","NA","No"
"Outbreak of Severe Vomiting in Dogs Associated with a Canine Enteric Coronavirus, United Kingdom","2021.0","Radford AD, Singleton DA, Jewell C, Appleton C, Rowlingson B, Hale AC, Cuartero CT, Newton R, Sánchez-Vizcaíno F, Greenberg D, Brant B, Bentley EG, Stewart JP, Smith S, Haldenby S, Noble PM, Pinchbeck GL.","Emerg Infect Dis","10.3201/eid2702.202452","LitSearch","Established","Academic","National","Europe","UK","NA","Companion","2.0","dog, cat","2.0","multiple, not specified","vomiting, prescriptions of veterinary-authorized products containing the antiemetic maropitant","GI, prescriptions","Population","Veterinarian reports","Private veterinarian","NA","SAVSNET (Small Animal Veterinary Surveillance Network)","Yes","No","publication on website_field investigation","rapid and actionable research and surveillance","Established","Spatio-temporal","Bayesian","No"
"Pilot simulation study using meat inspection data for syndromic surveillance: Use of whole carcass condemnation of adult cattle to assess the performance of several algorithms for outbreak detection","2015.0","Dupuy C., Morignat E., Dorea F., Ducrot C., Calavas D., Gay E.","Epidemiology and Infection","10.1017/S0950268814003495","LitSearch","Pilot program",NA,"Local/Municipal","Europe","France","NA","Livestock","1.0","cattle","1.0","1.0","carcass condemnations","carcass condemnation","Population","Condemnation reports","Meat inspector","NA","Nergal-Abattoir","Yes","No","field investigation suggested","early detection of disease outbreaks in food animals","No","Temporal","Frequentist","Yes"
"Purdue University-Banfield National Companion Animal Surveillance Program for emerging and zoonotic diseases","2006.0","Glickman L.T., Moore G.E., Glickman N.W., Caldanaro R.J., Aucoin D., Lewis H.B.","Vector-Borne and Zoonotic Diseases","10.1089/vbz.2006.6.14","LitSearch","Pilot program","Academic","National","North America","USA","NA","Companion","1.0","cat","3.0","NA","fever, coughing, difficulty breathing","general illness, respiratory","Population","Electronic medical records","Private veterinarian","NA","National Companion Animal Surveillance Program","Yes","Yes","inform stakeholders and authorities","bioterrorism, detect emerging disease, detect zoonotic disease, toxicological threats, monitor endemic disease, sentinel for human health, monitor vectors","Brady et al. 2012 Canine parvovirus reports that NCASP was discontinued","Spatio-temporal","Frequentist","Yes"
"Quantification of the increase in the frequency of early calving associated with late exposure to bluetongue virus serotype 8 in dairy cows: Implications for syndromic surveillance","2016.0","Nusinovici S., Madouasse A., Fourichon C.","Veterinary Research","10.1186/s13567-015-0296-7","LitSearch","Prospective/Proof of Concept",NA,"Multi-Region","Europe","France","NA","Livestock","1.0","cattle","1.0","NA","early calving","reproductive","Herd_flock","Artificial insemination, culling, calving data (precise source unclear)","Farmer/Owner","NA","NA","NA","No","NA","detect underreported disease, disease without clinical symptoms (BTV)","No","Temporal","Frequentist","Yes"
